service,efa_date,delivery_start,delivery_end,efa,cleared_volume,clearing_price,service_type,auction_id
DCL,2023-12-17,2023-12-17T19:00:00+0000,2023-12-17T23:00:00+0000,6,982.0,1.29,Response,65
DCH,2023-12-17,2023-12-17T19:00:00+0000,2023-12-17T23:00:00+0000,6,1184.0,0.97,Response,65
DRL,2023-12-17,2023-12-17T19:00:00+0000,2023-12-17T23:00:00+0000,6,261.0,10.0,Response,65
DMH,2023-12-17,2023-12-17T15:00:00+0000,2023-12-17T19:00:00+0000,5,169.0,-0.43,Response,65
DRL,2023-12-17,2023-12-17T15:00:00+0000,2023-12-17T19:00:00+0000,5,267.0,9.3,Response,65
DCH,2023-12-17,2023-12-17T15:00:00+0000,2023-12-17T19:00:00+0000,5,1127.0,0.98,Response,65
DML,2023-12-17,2023-12-17T15:00:00+0000,2023-12-17T19:00:00+0000,5,149.0,5.05,Response,65
DCL,2023-12-17,2023-12-17T15:00:00+0000,2023-12-17T19:00:00+0000,5,1018.0,3.08,Response,65
DRH,2023-12-17,2023-12-17T15:00:00+0000,2023-12-17T19:00:00+0000,5,350.0,-3.98,Response,65
DRH,2023-12-17,2023-12-17T11:00:00+0000,2023-12-17T15:00:00+0000,4,350.0,-2.66,Response,65
DCL,2023-12-17,2023-12-17T11:00:00+0000,2023-12-17T15:00:00+0000,4,977.0,0.91,Response,65
DMH,2023-12-17,2023-12-17T11:00:00+0000,2023-12-17T15:00:00+0000,4,150.0,1.0,Response,65
DCH,2023-12-17,2023-12-17T11:00:00+0000,2023-12-17T15:00:00+0000,4,1164.0,1.2,Response,65
DML,2023-12-17,2023-12-17T11:00:00+0000,2023-12-17T15:00:00+0000,4,150.0,2.28,Response,65
DRL,2023-12-17,2023-12-17T11:00:00+0000,2023-12-17T15:00:00+0000,4,302.0,8.14,Response,65
DML,2023-12-17,2023-12-17T07:00:00+0000,2023-12-17T11:00:00+0000,3,150.0,2.3,Response,65
DRH,2023-12-17,2023-12-17T07:00:00+0000,2023-12-17T11:00:00+0000,3,348.0,-0.1,Response,65
DCH,2023-12-17,2023-12-17T07:00:00+0000,2023-12-17T11:00:00+0000,3,1221.0,1.4,Response,65
DRL,2023-12-17,2023-12-17T07:00:00+0000,2023-12-17T11:00:00+0000,3,295.0,7.5,Response,65
DCL,2023-12-17,2023-12-17T07:00:00+0000,2023-12-17T11:00:00+0000,3,1000.0,0.94,Response,65
DMH,2023-12-17,2023-12-17T07:00:00+0000,2023-12-17T11:00:00+0000,3,150.0,1.0,Response,65
DCL,2023-12-17,2023-12-17T03:00:00+0000,2023-12-17T07:00:00+0000,2,1031.0,1.0,Response,65
DCH,2023-12-17,2023-12-17T03:00:00+0000,2023-12-17T07:00:00+0000,2,1228.0,3.6,Response,65
DRH,2023-12-17,2023-12-17T03:00:00+0000,2023-12-17T07:00:00+0000,2,330.0,1.8,Response,65
DMH,2023-12-17,2023-12-17T03:00:00+0000,2023-12-17T07:00:00+0000,2,150.0,2.94,Response,65
DRL,2023-12-17,2023-12-17T03:00:00+0000,2023-12-17T07:00:00+0000,2,257.0,6.19,Response,65
DML,2023-12-17,2023-12-17T03:00:00+0000,2023-12-17T07:00:00+0000,2,150.0,2.51,Response,65
DMH,2023-12-17,2023-12-16T23:00:00+0000,2023-12-17T03:00:00+0000,1,150.0,1.28,Response,65
DCL,2023-12-17,2023-12-16T23:00:00+0000,2023-12-17T03:00:00+0000,1,987.0,1.0,Response,65
DRL,2023-12-17,2023-12-16T23:00:00+0000,2023-12-17T03:00:00+0000,1,205.0,7.33,Response,65
DCH,2023-12-17,2023-12-16T23:00:00+0000,2023-12-17T03:00:00+0000,1,1218.0,1.49,Response,65
DML,2023-12-17,2023-12-16T23:00:00+0000,2023-12-17T03:00:00+0000,1,150.0,2.62,Response,65
DRH,2023-12-17,2023-12-16T23:00:00+0000,2023-12-17T03:00:00+0000,1,350.0,-1.6,Response,65
DRH,2023-12-16,2023-12-16T19:00:00+0000,2023-12-16T23:00:00+0000,6,350.0,-5.94,Response,64
DML,2023-12-16,2023-12-16T19:00:00+0000,2023-12-16T23:00:00+0000,6,150.0,2.83,Response,64
DMH,2023-12-16,2023-12-16T19:00:00+0000,2023-12-16T23:00:00+0000,6,170.0,-0.68,Response,64
DCL,2023-12-16,2023-12-16T19:00:00+0000,2023-12-16T23:00:00+0000,6,948.0,0.99,Response,64
DCH,2023-12-16,2023-12-16T19:00:00+0000,2023-12-16T23:00:00+0000,6,1145.0,0.6,Response,64
DRL,2023-12-16,2023-12-16T19:00:00+0000,2023-12-16T23:00:00+0000,6,265.0,9.34,Response,64
DMH,2023-12-16,2023-12-16T15:00:00+0000,2023-12-16T19:00:00+0000,5,170.0,-0.38,Response,64
DRL,2023-12-16,2023-12-16T15:00:00+0000,2023-12-16T19:00:00+0000,5,265.0,9.0,Response,64
DCH,2023-12-16,2023-12-16T15:00:00+0000,2023-12-16T19:00:00+0000,5,993.0,0.92,Response,64
DML,2023-12-16,2023-12-16T15:00:00+0000,2023-12-16T19:00:00+0000,5,150.0,3.4,Response,64
DCL,2023-12-16,2023-12-16T15:00:00+0000,2023-12-16T19:00:00+0000,5,902.0,1.56,Response,64
DRH,2023-12-16,2023-12-16T15:00:00+0000,2023-12-16T19:00:00+0000,5,350.0,-5.27,Response,64
DRH,2023-12-16,2023-12-16T11:00:00+0000,2023-12-16T15:00:00+0000,4,350.0,-6.77,Response,64
DCL,2023-12-16,2023-12-16T11:00:00+0000,2023-12-16T15:00:00+0000,4,916.0,0.98,Response,64
DMH,2023-12-16,2023-12-16T11:00:00+0000,2023-12-16T15:00:00+0000,4,159.0,-0.78,Response,64
DCH,2023-12-16,2023-12-16T11:00:00+0000,2023-12-16T15:00:00+0000,4,1019.0,0.89,Response,64
DML,2023-12-16,2023-12-16T11:00:00+0000,2023-12-16T15:00:00+0000,4,150.0,2.78,Response,64
DRL,2023-12-16,2023-12-16T11:00:00+0000,2023-12-16T15:00:00+0000,4,265.0,9.0,Response,64
DML,2023-12-16,2023-12-16T07:00:00+0000,2023-12-16T11:00:00+0000,3,150.0,2.41,Response,64
DRH,2023-12-16,2023-12-16T07:00:00+0000,2023-12-16T11:00:00+0000,3,350.0,-6.62,Response,64
DCH,2023-12-16,2023-12-16T07:00:00+0000,2023-12-16T11:00:00+0000,3,1163.0,1.2,Response,64
DRL,2023-12-16,2023-12-16T07:00:00+0000,2023-12-16T11:00:00+0000,3,265.0,9.5,Response,64
DCL,2023-12-16,2023-12-16T07:00:00+0000,2023-12-16T11:00:00+0000,3,954.0,0.96,Response,64
DMH,2023-12-16,2023-12-16T07:00:00+0000,2023-12-16T11:00:00+0000,3,150.0,0.35,Response,64
DCL,2023-12-16,2023-12-16T03:00:00+0000,2023-12-16T07:00:00+0000,2,958.0,0.73,Response,64
DCH,2023-12-16,2023-12-16T03:00:00+0000,2023-12-16T07:00:00+0000,2,1179.0,1.49,Response,64
DRH,2023-12-16,2023-12-16T03:00:00+0000,2023-12-16T07:00:00+0000,2,350.0,-3.54,Response,64
DMH,2023-12-16,2023-12-16T03:00:00+0000,2023-12-16T07:00:00+0000,2,150.0,0.14,Response,64
DRL,2023-12-16,2023-12-16T03:00:00+0000,2023-12-16T07:00:00+0000,2,201.0,7.75,Response,64
DML,2023-12-16,2023-12-16T03:00:00+0000,2023-12-16T07:00:00+0000,2,150.0,2.63,Response,64
DMH,2023-12-16,2023-12-15T23:00:00+0000,2023-12-16T03:00:00+0000,1,169.0,-0.65,Response,64
DCL,2023-12-16,2023-12-15T23:00:00+0000,2023-12-16T03:00:00+0000,1,947.0,0.88,Response,64
DRL,2023-12-16,2023-12-15T23:00:00+0000,2023-12-16T03:00:00+0000,1,200.0,9.0,Response,64
DCH,2023-12-16,2023-12-15T23:00:00+0000,2023-12-16T03:00:00+0000,1,1171.0,1.11,Response,64
DML,2023-12-16,2023-12-15T23:00:00+0000,2023-12-16T03:00:00+0000,1,150.0,2.77,Response,64
DRH,2023-12-16,2023-12-15T23:00:00+0000,2023-12-16T03:00:00+0000,1,350.0,-4.29,Response,64
DRH,2023-12-15,2023-12-15T19:00:00+0000,2023-12-15T23:00:00+0000,6,349.0,-6.36,Response,63
DML,2023-12-15,2023-12-15T19:00:00+0000,2023-12-15T23:00:00+0000,6,150.0,2.91,Response,63
DMH,2023-12-15,2023-12-15T19:00:00+0000,2023-12-15T23:00:00+0000,6,150.0,-0.3,Response,63
DCL,2023-12-15,2023-12-15T19:00:00+0000,2023-12-15T23:00:00+0000,6,941.0,1.13,Response,63
