Tender Ref,Status,Rejection Codes,Company Name,"Tendered Unit 
(BMU/Unit ID)",TO connection  /  DNO connection,Generation Type,Start Date,End Date,"Tendered Period 
(dd.mm.yy - dd.mm.yy)",Applicable FFR Capability Data Table,Tendered Frames per Service Day - From (Mon-Fri),Tendered Frames per Service Day - To (Mon- Fri),Tendered Frames per Service Day - Duration (Mon-Fri),Tendered Frames per Service Day - From (Saturday),Tendered Frames per Service Day - To (Saturday),Tendered Frames per Service Day - Duration (Saturday),Tendered Frames per Service Day - From (Sunday/Bank Holidays),Tendered Frames per Service Day - To (Sunday/Bank Holidays),Tendered Frames per Service Day - Duration (Sunday/Bank Hol),Tendered Prices - Availability Fee (£/h),Tendered Prices - Nomination Fee (£/h),Tendered Prices -  Window Initiation Fee (£/window),BMUs  Only ,Maximum Part Load Point (MW),Minimum Part Load Point (MW),Minimum MEL (MW),Maximum SEL (MW),Primary Response (max.) @ 0.2Hz (MW),Primary Response (max.) @ 0.5Hz (MW),Primary Response (max.) @ 0.8Hz (MW),Secondary Response (max.) @ 0.2/0.2Hz (MW),Secondary Response (max.) @ 0.5/0.5Hz (MW),High Frequency Response (max.) @ 0.2Hz (MW),High Frequency Response (max.) @ 0.5Hz (MW),Are you adding volume as per detail change provision,Please state the accepted tender that you are stacking onto,Please state if this is an all or nothing bid.,Please indicate if this is a mutually exclusive tender ,Automatic Response Energy Deliverable by 10s (MW),Automatic Response Energy Deliverable by 30s (MW),Post code,Comments 
141.043,Accepted,NA,Kiwi Power Ltd,KIWIS-1,DNO connection,Multiple Fuel Type,01/10/2021,31/10/2021,01.10.21 - 31.10.21 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,24,,,,,,,,,,,,,,,,,,,,15,"S33 6RP,
ST10 3EQ",
141.044,Accepted,NA,Limejump Ltd,LJDYN-2,DNO connection,DSF: Storage (for export),30/09/2021,31/10/2021,30.09.21 - 31.10.21 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,151.45,,,,,,,,5.2,13,13,5.2,13,5.2,13,,,, ,,,YO12,H for 30 minutes only
141.045,Accepted,NA,Limejump Ltd,LJDYN-2,DNO connection,DSF: Storage (for export),01/10/2021,31/10/2021,01.10.21 - 31.10.21 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,152.23,,,,,,,,5.2,13,13,5.2,13,5.2,13,,,,,,,YO12,H for 30 minutes only
141.046,Accepted,NA,Limejump Ltd,LJDYN-2,DNO connection,DSF: Storage (for export),01/10/2021,31/10/2021,01.10.21 - 31.10.21 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,151.71,,,,,,,,5.2,13,13,5.2,13,5.2,13,,,,,,,YO12,H for 30 minutes only
141.047,Rejected,2,Limejump Energy Ltd,AG-HLIM04,TO connection,DSF: Storage (for export),30/09/2021,31/10/2021,30.09.21 - 31.10.21 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,951,,,,,,,,20,50,50,20,50,20,50,,,,,,,SN16,H for 30 minutes only
141.048,Accepted,NA,Open Energi Limited,OPEN-1,DNO connection,DSF: Load response,30/09/2021,31/10/2021,30.09.21 - 31.10.21 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,22.8,,,,,,,,0.8,2,2,0.8,2,0.8,2,,,A,,,,Aggregated,
141.049,Accepted,NA,Open Energi Limited,OPEN-1,DNO connection,DSF: Load response,01/10/2021,31/10/2021,01.10.21 - 31.10.21 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,22.8,,,,,,,,0.8,2,2,0.8,2,0.8,2,,,B,,,,Aggregated,
141.050,Accepted,NA,Open Energi Limited,OPEN-1,DNO connection,DSF: Load response,01/10/2021,31/10/2021,01.10.21 - 31.10.21 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,22.8,,,,,,,,0.8,2,2,0.8,2,0.8,2,,,C,,,,Aggregated,
141.051,Accepted,NA,Peak Gen,PGFFR-7,DNO connection,DSF: Distributed generation (for export),01/10/2021,31/10/2021,01.10.21 - 31.10.21 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,79.68,,,,,,,,,,,,,,,,,, ,,20,EX2 8LB,
141.052,Accepted,NA,Peak Gen,PGFFR-7,DNO connection,DSF: Distributed generation (for export),01/10/2021,31/10/2021,01.10.21 - 31.10.21 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,79.68,,,,,,,,,,,,,,,,,,,,20,EX2 8LB,
141.053,Accepted,NA,Peak Gen,PGFFR-4,DNO connection,DSF: Distributed generation (for export),01/10/2021,31/10/2021,01.10.21 - 31.10.21 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,71.73,,,,,,,,,,,,,,,,,,,,18,SA10 6EJ,
141.054,Accepted,NA,Peak Gen,PGFFR-9,DNO connection,DSF: Distributed generation (for export),01/10/2021,31/10/2021,01.10.21 - 31.10.21 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,71.748,,,,,,,,,,,,,,,,,,,,18,PO9 1HS,
141.055,Accepted,NA,Peak Gen,PGFFR-5,DNO connection,DSF: Distributed generation (for export),01/10/2021,31/10/2021,01.10.21 - 31.10.21 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,79.74,,,,,,,,,,,,,,,,,,,,20,CF64 5RP,
141.056,Accepted,NA,Peak Gen,PGFFR-6,DNO connection,DSF: Distributed generation (for export),01/10/2021,31/10/2021,01.10.21 - 31.10.21 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,79.76,,,,,,,,,,,,,,,,,,,,20,PO15 5UB,
141.057,Accepted,NA,Peak Gen,PGFFR-8,DNO connection,DSF: Distributed generation (for export),01/10/2021,31/10/2021,01.10.21 - 31.10.21 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,79.78,,,,,,,,,,,,,,,,,,,,20,RG42 5NG,
141.058,Accepted,NA,Social Energy Limited,SOC1-FFR,DNO connection,DSF: Storage (onsite),30/09/2021,31/10/2021,30.09.21 - 31.10.21 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,10.49,,,,,,,,0.4,1,1,0.4,1,0.4,1,,,, ,,,,H for only 30min
141.059,Accepted,NA,Social Energy Limited,SOC1-FFR,DNO connection,DSF: Storage (onsite),01/10/2021,31/10/2021,01.10.21 - 31.10.21 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,11.99,,,,,,,,0.4,1,1,0.4,1,0.4,1,,,,,,,,H for only 30min
141.060,Accepted,NA,Social Energy Limited,SOC1-FFR,DNO connection,DSF: Storage (onsite),01/10/2021,31/10/2021,01.10.21 - 31.10.21 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,11.84,,,,,,,,0.4,1,1,0.4,1,0.4,1,,,,,,,,H for only 30min
141.061,Accepted,NA,Social Energy Limited,SOC2-FFR,DNO connection,DSF: Storage (onsite),30/09/2021,31/10/2021,30.09.21 - 31.10.21 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,10.64,,,,,,,,0.4,1,1,0.4,1,0.4,1,,,,,,,,H for only 30min
